baker,series,episode,technical,result,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Norman,5,5,5,OUT,Calder,66,Retired Naval Officer,"Portknockie, Moray",Tarte au Citron,Pieful Tower
Kate,5,5,3,STAR BAKER,Henry,41,Furniture Restorer,"Brighton, East Sussex",Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies"
Diana,5,5,NA,WD,NA,NA,NA,NA,NA,NA
Claire,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Diana,5,6,NA,IN,NA,NA,NA,NA,NA,NA
Kate,5,6,6,IN,Henry,41,Furniture Restorer,"Brighton, East Sussex","Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes
Luis,5,6,3,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill
Martha,5,6,4,IN,Collison,17,Student,"Ascot, Berkshire",Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte
Nancy,5,6,1,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte
Richard,5,6,5,IN,Burr,38,Builder,"Mill Hill, London",Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte
Chetna,5,6,2,STAR BAKER,Makan,35,Fashion Designer,"Broadstairs, Kent",Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
Claire,5,6,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,6,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,6,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,6,NA,NA,NA,NA,NA,NA,NA,NA
Norman,5,6,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,7,6,IN,Makan,35,Fashion Designer,"Broadstairs, Kent",Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
Diana,5,7,NA,IN,NA,NA,NA,NA,NA,NA
Luis,5,7,5,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
Martha,5,7,3,IN,Collison,17,Student,"Ascot, Berkshire",Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
Nancy,5,7,2,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
Kate,5,7,4,OUT,Henry,41,Furniture Restorer,"Brighton, East Sussex",Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs
Richard,5,7,1,STAR BAKER,Burr,38,Builder,"Mill Hill, London",Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
Claire,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Norman,5,7,NA,NA,NA,NA,NA,NA,NA,NA
Chetna,5,8,1,IN,Makan,35,Fashion Designer,"Broadstairs, Kent",Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
Diana,5,8,NA,IN,NA,NA,NA,NA,NA,NA
Luis,5,8,2,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
Nancy,5,8,3,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
Martha,5,8,5,OUT,Collison,17,Student,"Ascot, Berkshire",Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
Richard,5,8,4,STAR BAKER,Burr,38,Builder,"Mill Hill, London",Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts
Claire,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Kate,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Norman,5,8,NA,NA,NA,NA,NA,NA,NA,NA
Diana,5,9,NA,IN,NA,NA,NA,NA,NA,NA
Luis,5,9,1,IN,Troyano,42,Graphic Designer,"Poynton, Cheshire",Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
Nancy,5,9,3,IN,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets
Chetna,5,9,4,OUT,Makan,35,Fashion Designer,"Broadstairs, Kent",Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
Richard,5,9,2,STAR BAKER,Burr,38,Builder,"Mill Hill, London",Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets
Claire,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Kate,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Martha,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Norman,5,9,NA,NA,NA,NA,NA,NA,NA,NA
Diana,5,10,NA,IN,NA,NA,NA,NA,NA,NA
Luis,5,10,2,Runner-up,Troyano,42,Graphic Designer,"Poynton, Cheshire","Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate
Richard,5,10,3,Runner-up,Burr,38,Builder,"Mill Hill, London",Pear Pain au ChocolatPain Au Lait,Mill on the Hill
Nancy,5,10,1,WINNER,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill
Chetna,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Claire,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Enwezor,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Iain,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Kate,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Martha,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Norman,5,10,NA,NA,NA,NA,NA,NA,NA,NA
Alvin,6,1,2,IN,Magallanes,37,Nurse,"Bracknell, Berkshire",Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau
Dorret,6,1,5,IN,Conway,53,Accountant,"Penwortham, Lancashire",Madeira Cake with Candied Lemons,Enchanted Forest Gâteau
Flora,6,1,6,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Blood Orange Madeira Cake,Black Forest Gâteau
Ian,6,1,8,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Somewhere West of Madeira Cake,Black Forest Cherry Tree
Mat,6,1,7,IN,Riley,37,Fire fighter,London,Gin and Tonic Madeira Cake,Black Forest Gateau
Nadiya,6,1,12,IN,Hussain,30,Full-time mother,Leeds / Luton,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau
Paul,6,1,10,IN,Jagger,49,Prison governor,"Swansea, Wales","Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation
Sandy,6,1,9,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau
Tamal,6,1,4,IN,Ray,29,Trainee anaesthetist,Manchester,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell
Ugnė,6,1,1,IN,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Lemon and Thyme Madeira Cake,Falling Cup Gâteau
Stu,6,1,11,OUT,Henshall,35,Professional musician,"Guildford, Surrey",Marley Madeira Cake,Purple Forest Gâteau
Marie,6,1,3,STAR BAKER,Campbell,66,Retired,"Auchterarder, Perthshire",Zingy Citrus Madeira Cake,A Walk in the Black Forest
Alvin,6,2,6,IN,Magallanes,37,Nurse,"Bracknell, Berkshire","Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps
Dorret,6,2,1,IN,Conway,53,Accountant,"Penwortham, Lancashire",Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs
Flora,6,2,2,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Wedding Biscotti,Honey and Earl Grey Tea Box
Mat,6,2,5,IN,Riley,37,Fire fighter,London,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine
Nadiya,6,2,9,IN,Hussain,30,Full-time mother,Leeds / Luton,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes
Paul,6,2,10,IN,Jagger,49,Prison governor,"Swansea, Wales","Chocolate, Hazelnut and Fig Biscotti",Memory Box
Sandy,6,2,4,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box
Tamal,6,2,8,IN,Ray,29,Trainee anaesthetist,Manchester,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box
Ugnė,6,2,7,IN,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",White Wine Biscotti,Baby Climbing into the Cookie Box
Marie,6,2,11,OUT,Campbell,66,Retired,"Auchterarder, Perthshire",Biscotti Italiano,Russian Box
Ian,6,2,3,STAR BAKER,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire","Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture
Stu,6,2,NA,NA,NA,NA,NA,NA,NA,NA
Alvin,6,3,4,IN,Magallanes,37,Nurse,"Bracknell, Berkshire","Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia
Flora,6,3,2,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Fig and Hazelnut Rye Breads,Herb Couture
Mat,6,3,8,IN,Riley,37,Fire fighter,London,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion
Nadiya,6,3,9,IN,Hussain,30,Full-time mother,Leeds / Luton,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket
Paul,6,3,10,IN,Jagger,49,Prison governor,"Swansea, Wales",Cranberry and Orange Sweet Soda Breads,King of the Jungle
Sandy,6,3,7,IN,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
Tamal,6,3,3,IN,Ray,29,Trainee anaesthetist,Manchester,"Fig, Cheese and Walnut Breads",Breadcycle
Ugnė,6,3,5,IN,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket
Dorret,6,3,6,OUT,Conway,53,Accountant,"Penwortham, Lancashire",Walnut and Stilton Soda Breads,Unmade Bread
Ian,6,3,1,STAR BAKER,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Wild Garlic Pesto Soda Breads,Flour Power
Marie,6,3,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,3,NA,NA,NA,NA,NA,NA,NA,NA
Alvin,6,4,9,IN,Magallanes,37,Nurse,"Bracknell, Berkshire",Blackberry Crème Brûlées,Tower of Fruits Cheesecakes
Flora,6,4,3,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes
Mat,6,4,7,IN,Riley,37,Fire fighter,London,Coconut Crème Brûlées,Chocolate Bar Cheesecakes
Nadiya,6,4,8,IN,Hussain,30,Full-time mother,Leeds / Luton,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes
Paul,6,4,1,IN,Jagger,49,Prison governor,"Swansea, Wales",Almond Crème Brûlées,Berry Cheesecake Tower
Tamal,6,4,5,IN,Ray,29,Trainee anaesthetist,Manchester,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio"
Ugnė,6,4,2,IN,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes"
Sandy,6,4,6,OUT,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
Ian,6,4,4,STAR BAKER,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes
Dorret,6,4,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,4,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,4,NA,NA,NA,NA,NA,NA,NA,NA
Alvin,6,5,8,IN,Magallanes,37,Nurse,"Bracknell, Berkshire",Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
Flora,6,5,3,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross","Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche
Ian,6,5,5,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Honey and Flowers Cake,Dessert Island
Mat,6,5,4,IN,Riley,37,Fire fighter,London,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll
Paul,6,5,2,IN,Jagger,49,Prison governor,"Swansea, Wales",Carrot & Pecan Cake,Dessert Island Getaway
Tamal,6,5,7,IN,Ray,29,Trainee anaesthetist,Manchester,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll
Ugnė,6,5,6,OUT,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll"
Nadiya,6,5,1,STAR BAKER,Hussain,30,Full-time mother,Leeds / Luton,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll
Dorret,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Flora,6,6,2,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
Ian,6,6,3,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer
Nadiya,6,6,4,IN,Hussain,30,Full-time mother,Leeds / Luton,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents
Paul,6,6,5,IN,Jagger,49,Prison governor,"Swansea, Wales",Christmas Frangipane Tart,Savoury and Sweet Bouchées
Tamal,6,6,7,IN,Ray,29,Trainee anaesthetist,Manchester,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
Alvin,6,6,6,OUT,Magallanes,37,Nurse,"Bracknell, Berkshire",Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
Mat,6,6,1,STAR BAKER,Riley,37,Fire fighter,London,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents
Dorret,6,6,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,6,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,6,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,6,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,6,NA,NA,NA,NA,NA,NA,NA,NA
Flora,6,7,4,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe"
Ian,6,7,5,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Roadkill Pie,Victoria's Crown Charlotte Russe
Nadiya,6,7,1,IN,Hussain,30,Full-time mother,Leeds / Luton,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe
Paul,6,7,2,IN,Jagger,49,Prison governor,"Swansea, Wales",Not a Boaring Pie,Charlotte Rose
Mat,6,7,6,OUT,Riley,37,Fire fighter,London,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe
Tamal,6,7,3,STAR BAKER,Ray,29,Trainee anaesthetist,Manchester,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
Alvin,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Dorret,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,7,NA,NA,NA,NA,NA,NA,NA,NA
Flora,6,8,3,IN,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
Ian,6,8,2,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions
Tamal,6,8,4,IN,Ray,29,Trainee anaesthetist,Manchester,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
Paul,6,8,5,OUT,Jagger,49,Prison governor,"Swansea, Wales",Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne
Nadiya,6,8,1,STAR BAKER,Hussain,30,Full-time mother,Leeds / Luton,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
Alvin,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Dorret,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Mat,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,8,NA,NA,NA,NA,NA,NA,NA,NA
Ian,6,9,3,IN,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Chocolate and Bay Tart,Chocolate Well
Tamal,6,9,2,IN,Ray,29,Trainee anaesthetist,Manchester,Chocolate New York Pie,Chocolate Bell Tower
Flora,6,9,1,OUT,Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Passion Fruit and Chocolate Tart,Cocoa Carousel
Nadiya,6,9,4,STAR BAKER,Hussain,30,Full-time mother,Leeds / Luton,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door
Alvin,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Dorret,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Mat,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Paul,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,9,NA,NA,NA,NA,NA,NA,NA,NA
Ian,6,10,2,Runner-up,Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake
Tamal,6,10,3,Runner-up,Ray,29,Trainee anaesthetist,Manchester,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake
Nadiya,6,10,1,WINNER,Hussain,30,Full-time mother,Leeds / Luton,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake
Alvin,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Dorret,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Flora,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Marie,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Mat,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Paul,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Sandy,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Stu,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Ugnė,6,10,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,1,12,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
Benjamina,7,1,6,IN,Ebuehi,23,Teaching assistant,South London,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
Candice,7,1,5,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
Kate,7,1,4,IN,Barmby,37,Nurse,"Brooke, Norfolk",Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake
Louise,7,1,9,IN,Williams,46,Hairdresser,Cardiff,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake
Michael,7,1,3,IN,Georgiou,20,Student,Durham,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze
Rav,7,1,8,IN,Bansal,28,Student support,Erith,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake
Selasi,7,1,1,IN,Gbormittah,30,Client service associate,London,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
Tom,7,1,2,IN,Gilliford,26,Project engagement manager,Rochdale,G&T Drizzle Cake,Black Forest Broken Mirror
Val,7,1,10,IN,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting
Lee,7,1,11,OUT,Banfield,67,Pastor,Bolton,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake
Jane,7,1,7,STAR BAKER,Beedle,61,Garden designer,Beckenham,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake
Andrew,7,2,4,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Beehive Biscuits,Punting in Cambridge
Benjamina,7,2,3,IN,Ebuehi,23,Teaching assistant,South London,Bouquet Biscuits,"New York, New York"
Jane,7,2,2,IN,Beedle,61,Garden designer,Beckenham,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat
Kate,7,2,1,IN,Barmby,37,Nurse,"Brooke, Norfolk","""A Biscuit for the Broads""","""I Promise I will do my best"""
Michael,7,2,9,IN,Georgiou,20,Student,Durham,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland
Rav,7,2,6,IN,Bansal,28,Student support,Erith,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground
Selasi,7,2,11,IN,Gbormittah,30,Client service associate,London,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church
Tom,7,2,7,IN,Gilliford,26,Project engagement manager,Rochdale,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience
Val,7,2,5,IN,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire
Louise,7,2,10,OUT,Williams,46,Hairdresser,Cardiff,Baa Bara Brith Biscuits,Gingerbread Wedding
Candice,7,2,8,STAR BAKER,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
Lee,7,2,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,3,2,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Chocolate Barmbrack Bread,Braided Harvest Bread Basket
Benjamina,7,3,6,IN,Ebuehi,23,Teaching assistant,South London,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
Candice,7,3,3,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
Jane,7,3,9,IN,Beedle,61,Garden designer,Beckenham,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre
Kate,7,3,8,IN,Barmby,37,Nurse,"Brooke, Norfolk",Cobbled Loaf,The Corn Maiden
Rav,7,3,10,IN,Bansal,28,Student support,Erith,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece
Selasi,7,3,5,IN,Gbormittah,30,Client service associate,London,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread
Val,7,3,1,IN,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
Michael,7,3,7,OUT,Georgiou,20,Student,Durham,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous
Tom,7,3,4,STAR BAKER,Gilliford,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
Lee,7,3,NA,NA,NA,NA,NA,NA,NA,NA
Louise,7,3,NA,NA,NA,NA,NA,NA,NA,NA
Andrew,7,4,4,IN,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
Candice,7,4,2,IN,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros
Jane,7,4,3,IN,Beedle,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
Rav,7,4,9,IN,Bansal,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
Selasi,7,4,8,IN,Gbormittah,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
Tom,7,4,5,IN,Gilliford,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
Val,7,4,6,IN,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
Kate,7,4,7,OUT,Barmby,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros
Benjamina,7,4,1,STAR BAKER,Ebuehi,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
Lee,7,4,NA,NA,NA,NA,NA,NA,NA,NA
